date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:33	38837/38837	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:31%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/blog-single.html	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/blog-single.html	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:34	22606/22606	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:32%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/contact.html	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/contact.html	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:34	37751/37751	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/p1.jpg	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/p1.jpg	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:35	1682/1682	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:33%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/blog1.html	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/blog1.html	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:35	519261/519261	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/pizza-full.png	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/pizza-full.png	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:36	1212/1212	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/pizza.png	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/pizza.png	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:36	735/735	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/burger.png	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/burger.png	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:37	775/775	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/drink.png	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/drink.png	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:37	985/985	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/fries.png	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/fries.png	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:38	68853/68853	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/a1.jpg	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/images/a1.jpg	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
